Type,"2024 (000s)","2025 (000s)","2025 Proportion (%)","% change between year ending"
Hotel/resort/motel or motor Inn,41799,45080,14.97,7.85
Guest house or Bed & Breakfast,287,1195,0.40,315.91
Rented house/apartment/flat or unit,104025,108114,35.91,3.93
Caravan park or commercial camping ground,2434,2823,0.94,16.01
Backpacker or hostel,11797,9441,3.14,-19.97
Other commercial accommodation,5684,7749,2.57,36.33
Own property,2624,4218,1.40,60.77
Friends or relatives property,89255,100129,33.25,12.18
Caravan or camping - non commercial,1200,1517,0.50,26.40
Other Private Accommodation,9246,10326,3.43,11.67
Other Accomodation,9817,10507,3.49,7.03
