Age,Male,Female
0,13.73,11.99
1,17.77,17.24
2,15.20,13.94
3,16.94,17.72
4,17.99,17.20
5,19.84,18.50
6,20.64,20.27
7,22.71,21.02
8,23.39,23.06
9,23.60,23.70
10,24.62,24.43
11,24.95,25.49
12,26.90,25.50
13,26.86,26.55
14,28.21,27.95
15,29.98,31.87
16,32.41,37.23
17,30.52,34.00
18,35.09,41.68
19,46.06,55.46
20,52.85,67.34
21,56.78,70.75
22,66.80,83.76
23,77.89,93.10
24,82.57,102.10
25,77.11,96.98
26,77.97,98.59
27,80.29,99.07
28,81.64,99.64
29,82.72,97.91
30,80.11,93.52
31,76.19,86.29
32,74.09,77.01
33,69.59,72.28
34,66.91,68.92
35,68.39,65.37
36,64.98,61.93
37,62.95,57.88
38,61.83,56.61
39,61.10,55.56
40,60.73,56.33
41,60.13,57.67
42,62.57,59.11
43,57.47,56.41
44,56.34,56.07
45,56.50,55.48
46,55.28,55.57
47,55.41,55.24
48,53.35,58.39
49,56.16,61.32
50,57.90,64.36
51,58.79,66.75
52,59.50,68.47
53,61.53,72.59
54,59.93,72.68
55,59.95,73.43
56,59.94,74.94
57,57.40,71.83
58,57.22,72.84
59,60.54,77.14
60,64.99,80.55
61,64.33,77.91
62,62.45,78.15
63,57.60,69.40
64,55.58,69.86
65,56.65,68.40
66,53.48,65.73
67,53.65,63.92
68,49.68,57.03
69,48.33,54.55
70,45.33,48.85
71,39.66,41.93
72,36.32,37.86
73,32.00,32.00
74,27.78,30.31
75,25.39,25.29
76,22.62,21.81
77,19.62,20.75
78,15.35,16.42
79,12.85,12.62
80,9.99,11.54
81,7.74,7.92
82,6.67,7.22
83,5.25,5.83
84,4.60,4.27
85,3.31,3.51
86,2.37,2.06
87,1.28,1.98
88,0.86,1.49
89,0.61,0.75
90,0.54,0.72
91,0.44,0.24
92,0.32,0.22
93,0.12,0.13
94,0.07,0.13
95,0.11,0.10
96,0.05,0.05
97,0.01,0.00
98,0.00,0.03
99,0.00,0.01
100+,0.00,0.03
